list-none-s,4,1000,8,12000,6503550,541,337
list-none-s,8,1000,8,24000,18708312,779,2456
list-none-s,12,1000,8,36000,38757864,1076,6694
list-none-s,1,1000,16,3000,639081,213,22
list-none-s,2,1000,16,6000,1801264,300,43
list-none-s,4,1000,16,12000,5149762,429,269
list-none-s,8,1000,16,24000,9542298,397,701
list-none-s,12,1000,16,36000,16166910,449,1723
list-none-m,1,1000,1,3000,8085960,2695,523
list-none-m,2,1000,1,6000,23054401,3842,3736
list-none-m,4,1000,1,12000,74469196,6205,16395
list-none-m,8,1000,1,24000,330761717,13781,84471
list-none-m,12,1000,1,36000,1046187496,29060,302605
list-none-m,16,1000,1,48000,1634635434,34054,455960
list-none-m,24,1000,1,72000,4438940455,61651,1272979
list-none-s,1,1000,1,3000,3666145,1222,22
list-none-s,2,1000,1,6000,14794621,2465,1980
list-none-s,4,1000,1,12000,118211786,9850,29615
list-none-s,12,1000,1,36000,889842777,24717,219143
list-none-s,16,1000,1,48000,2040517767,42510,556831
list-none-s,24,1000,1,72000,5145893026,71470,1445147
list-id-none,1,1,4,3,109165,36388,0
list-id-none,2,1,4,6,135992,22665,0
list-id-none,4,1,4,12,138001,11500,0
list-id-none,8,1,4,24,373819,15575,0
list-id-none,12,1,4,36,382346,10620,0
list-id-none,16,1,4,48,468959,9769,0
list-id-none,1,2,4,6,74940,12490,0
list-id-none,2,2,4,12,113634,9469,0
list-id-none,4,2,4,24,174463,7269,0
list-id-none,8,2,4,48,231794,4829,0
list-id-none,12,2,4,72,335720,4662,0
list-id-none,16,2,4,96,456666,4756,0
list-id-none,1,4,4,12,102840,8570,0
list-id-none,2,4,4,24,131484,5478,0
list-id-none,4,4,4,48,183987,3833,0
list-id-none,8,4,4,96,271977,2833,0
list-id-none,12,4,4,144,372968,2590,0
list-id-none,16,4,4,192,509618,2654,0
list-id-none,1,8,4,24,85760,3573,0
list-id-none,2,8,4,48,131650,2742,0
list-id-none,4,8,4,96,155655,1621,0
list-id-none,12,8,4,288,401272,1393,0
list-id-none,16,8,4,384,534551,1392,0
list-id-none,1,16,4,48,111549,2323,0
list-id-none,2,16,4,96,173422,1806,0
list-id-none,4,16,4,192,204673,1066,0
list-id-m,1,10,4,30,137222,4574,165
list-id-m,2,10,4,60,165382,2756,656
list-id-m,4,10,4,120,225293,1877,1232
list-id-m,8,10,4,240,352423,1468,1072
list-id-m,12,10,4,360,493682,1371,3057
list-id-m,16,10,4,480,599874,1249,2289
list-id-m,1,20,4,60,115849,1930,43
list-id-m,2,20,4,120,161105,1342,42
list-id-m,4,20,4,240,297349,1238,1036
list-id-m,8,20,4,480,495231,1031,2045
list-id-m,12,20,4,720,799687,1110,4057
list-id-m,16,20,4,960,1053858,1097,6320
list-id-m,1,40,4,120,161210,1343,34
list-id-m,2,40,4,240,283555,1181,432
list-id-m,4,40,4,480,539931,1124,1470
list-id-m,8,40,4,960,956777,996,3325
list-id-m,12,40,4,1440,1572218,1091,6659
list-id-m,16,40,4,1920,2247641,1170,10988
list-id-m,1,80,4,240,227779,949,29
list-id-m,2,80,4,480,567519,1182,462
list-id-m,4,80,4,960,989295,1030,1459
list-id-m,8,80,4,1920,2060693,1073,4520
list-id-m,12,80,4,2880,3237180,1124,8360
